txn_id,reporting_year,period_month,period_state,txn_date,account_id,account_name,account_type,txn_class,amount_base,base_currency,amount_reporting,reporting_currency,gl_code,category_group_key,source_system,source_record_ref
hbgl_2026_000019,2026,2026-07,forecast,2026-07-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-07-01:19
hbgl_2026_000020,2026,2026-09,forecast,2026-09-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-09-01:20
hbgl_2026_000021,2026,2026-08,forecast,2026-08-01,TWH - PERSONAL,TWH - Personal,budget,expense,-4000.00,SGD,-4000.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-08-01:21
hbgl_2026_000022,2026,2026-01,actual,2026-01-01,TWH - PERSONAL,TWH - Personal,budget,expense,1750.00,SGD,1750.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-01-01:22
hbgl_2026_000023,2026,2026-02,actual,2026-02-01,TWH - PERSONAL,TWH - Personal,budget,expense,1750.00,SGD,1750.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-02-01:23
hbgl_2026_000024,2026,2026-04,forecast,2026-04-01,TWH - PERSONAL,TWH - Personal,budget,expense,1750.00,SGD,1750.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-04-01:24
hbgl_2026_000025,2026,2026-05,forecast,2026-05-01,TWH - PERSONAL,TWH - Personal,budget,expense,1750.00,SGD,1750.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-05-01:25
hbgl_2026_000026,2026,2026-06,forecast,2026-06-01,TWH - PERSONAL,TWH - Personal,budget,expense,1750.00,SGD,1750.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-06-01:26
hbgl_2026_000027,2026,2026-07,forecast,2026-07-01,TWH - PERSONAL,TWH - Personal,budget,expense,1750.00,SGD,1750.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-07-01:27
hbgl_2026_000028,2026,2026-08,forecast,2026-08-01,TWH - PERSONAL,TWH - Personal,budget,expense,1750.00,SGD,1750.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-08-01:28
hbgl_2026_000029,2026,2026-09,forecast,2026-09-01,TWH - PERSONAL,TWH - Personal,budget,expense,1750.00,SGD,1750.00,SGD,Rent,01 rental,homebudget_sync,hb_gl:2026-09-01:29
hbgl_2026_000030,2026,2026-04,forecast,2026-04-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,1950.00,SGD,1950.00,SGD,,,homebudget_sync,hb_gl:2026-04-01:30
hbgl_2026_000031,2026,2026-02,actual,2026-02-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,1950.00,SGD,1950.00,SGD,,,homebudget_sync,hb_gl:2026-02-01:31
hbgl_2026_000032,2026,2026-01,actual,2026-01-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,1950.00,SGD,1950.00,SGD,,,homebudget_sync,hb_gl:2026-01-01:32
hbgl_2026_000033,2026,2026-01,actual,2026-01-01,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-1950.00,SGD,-1950.00,SGD,,,homebudget_sync,hb_gl:2026-01-01:33
hbgl_2026_000034,2026,2026-02,actual,2026-02-01,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-1950.00,SGD,-1950.00,SGD,,,homebudget_sync,hb_gl:2026-02-01:34
hbgl_2026_000035,2026,2026-04,forecast,2026-04-01,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-1950.00,SGD,-1950.00,SGD,,,homebudget_sync,hb_gl:2026-04-01:35
hbgl_2026_000036,2026,2026-05,forecast,2026-05-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,1950.00,SGD,1950.00,SGD,,,homebudget_sync,hb_gl:2026-05-01:36
hbgl_2026_000037,2026,2026-06,forecast,2026-06-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,1950.00,SGD,1950.00,SGD,,,homebudget_sync,hb_gl:2026-06-01:37
hbgl_2026_000038,2026,2026-07,forecast,2026-07-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,1950.00,SGD,1950.00,SGD,,,homebudget_sync,hb_gl:2026-07-01:38
hbgl_2026_000039,2026,2026-08,forecast,2026-08-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,1950.00,SGD,1950.00,SGD,,,homebudget_sync,hb_gl:2026-08-01:39
hbgl_2026_000040,2026,2026-09,forecast,2026-09-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,1950.00,SGD,1950.00,SGD,,,homebudget_sync,hb_gl:2026-09-01:40
hbgl_2026_000041,2026,2026-05,forecast,2026-05-01,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-1950.00,SGD,-1950.00,SGD,,,homebudget_sync,hb_gl:2026-05-01:41
hbgl_2026_000042,2026,2026-07,forecast,2026-07-01,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-1950.00,SGD,-1950.00,SGD,,,homebudget_sync,hb_gl:2026-07-01:42
hbgl_2026_000043,2026,2026-08,forecast,2026-08-01,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-1950.00,SGD,-1950.00,SGD,,,homebudget_sync,hb_gl:2026-08-01:43
hbgl_2026_000044,2026,2026-09,forecast,2026-09-01,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-1950.00,SGD,-1950.00,SGD,,,homebudget_sync,hb_gl:2026-09-01:44
hbgl_2026_000045,2026,2026-06,forecast,2026-06-01,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,transfer_out,-1950.00,SGD,-1950.00,SGD,,,homebudget_sync,hb_gl:2026-06-01:45
hbgl_2026_000046,2026,2026-07,forecast,2026-07-01,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_out,-300.00,SGD,-300.00,SGD,,,homebudget_sync,hb_gl:2026-07-01:46
hbgl_2026_000047,2026,2026-06,forecast,2026-06-01,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_out,-300.00,SGD,-300.00,SGD,,,homebudget_sync,hb_gl:2026-06-01:47
hbgl_2026_000048,2026,2026-05,forecast,2026-05-01,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_out,-300.00,SGD,-300.00,SGD,,,homebudget_sync,hb_gl:2026-05-01:48
hbgl_2026_000049,2026,2026-04,forecast,2026-04-01,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_out,-300.00,SGD,-300.00,SGD,,,homebudget_sync,hb_gl:2026-04-01:49
hbgl_2026_000050,2026,2026-02,actual,2026-02-01,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_out,-300.00,SGD,-300.00,SGD,,,homebudget_sync,hb_gl:2026-02-01:50
hbgl_2026_000051,2026,2026-01,actual,2026-01-01,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_out,-300.00,SGD,-300.00,SGD,,,homebudget_sync,hb_gl:2026-01-01:51
hbgl_2026_000052,2026,2026-06,forecast,2026-06-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,300.00,SGD,300.00,SGD,,,homebudget_sync,hb_gl:2026-06-01:52
hbgl_2026_000053,2026,2026-07,forecast,2026-07-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,300.00,SGD,300.00,SGD,,,homebudget_sync,hb_gl:2026-07-01:53
hbgl_2026_000054,2026,2026-01,actual,2026-01-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,300.00,SGD,300.00,SGD,,,homebudget_sync,hb_gl:2026-01-01:54
hbgl_2026_000055,2026,2026-02,actual,2026-02-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,300.00,SGD,300.00,SGD,,,homebudget_sync,hb_gl:2026-02-01:55
hbgl_2026_000056,2026,2026-04,forecast,2026-04-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,300.00,SGD,300.00,SGD,,,homebudget_sync,hb_gl:2026-04-01:56
hbgl_2026_000057,2026,2026-05,forecast,2026-05-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,300.00,SGD,300.00,SGD,,,homebudget_sync,hb_gl:2026-05-01:57
hbgl_2026_000058,2026,2026-09,forecast,2026-09-01,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_out,-300.00,SGD,-300.00,SGD,,,homebudget_sync,hb_gl:2026-09-01:58
hbgl_2026_000059,2026,2026-08,forecast,2026-08-01,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_out,-300.00,SGD,-300.00,SGD,,,homebudget_sync,hb_gl:2026-08-01:59
hbgl_2026_000060,2026,2026-09,forecast,2026-09-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,300.00,SGD,300.00,SGD,,,homebudget_sync,hb_gl:2026-09-01:60
hbgl_2026_000061,2026,2026-08,forecast,2026-08-01,TWH - PERSONAL,TWH - Personal,budget,transfer_in,300.00,SGD,300.00,SGD,,,homebudget_sync,hb_gl:2026-08-01:61
hbgl_2026_000062,2026,2026-01,actual,2026-01-17,TWH DBS MULTI SGD,TWH DBS Multi SGD,cash,income,2738.00,SGD,2738.00,SGD,,Salary and Wages,homebudget_sync,hb_gl:2026-01-17:62
hbgl_2026_000063,2026,2026-12,forecast,2026-12-05,TWH - PERSONAL,TWH - Personal,budget,expense,-402.29,SGD,-402.29,SGD,Health insurance,04 insurance,homebudget_sync,hb_gl:2026-12-05:63
hbgl_2026_000064,2026,2026-12,forecast,2026-12-05,TWH - PERSONAL,TWH - Personal,budget,expense,-332.00,SGD,-332.00,SGD,Health insurance,04 insurance,homebudget_sync,hb_gl:2026-12-05:64
hbgl_2026_000065,2026,2026-01,actual,2026-01-27,TWH - PERSONAL,TWH - Personal,budget,expense,-16.79,SGD,-16.79,SGD,Internet/TV,03 internet,homebudget_sync,hb_gl:2026-01-27:65
hbgl_2026_000066,2026,2026-07,forecast,2026-07-27,TWH - PERSONAL,TWH - Personal,budget,expense,-16.79,SGD,-16.79,SGD,Internet/TV,03 internet,homebudget_sync,hb_gl:2026-07-27:66
hbgl_2026_000067,2026,2026-11,forecast,2026-11-27,TWH - PERSONAL,TWH - Personal,budget,expense,-16.79,SGD,-16.79,SGD,Internet/TV,03 internet,homebudget_sync,hb_gl:2026-11-27:67
hbgl_2026_000068,2026,2026-12,forecast,2026-12-27,TWH - PERSONAL,TWH - Personal,budget,expense,-16.79,SGD,-16.79,SGD,Internet/TV,03 internet,homebudget_sync,hb_gl:2026-12-27:68
hbgl_2026_000069,2026,2026-10,forecast,2026-10-27,TWH - PERSONAL,TWH - Personal,budget,expense,-16.79,SGD,-16.79,SGD,Internet/TV,03 internet,homebudget_sync,hb_gl:2026-10-27:69
hbgl_2026_000070,2026,2026-09,forecast,2026-09-27,TWH - PERSONAL,TWH - Personal,budget,expense,-16.79,SGD,-16.79,SGD,Internet/TV,03 internet,homebudget_sync,hb_gl:2026-09-27:70
hbgl_2026_000071,2026,2026-08,forecast,2026-08-27,TWH - PERSONAL,TWH - Personal,budget,expense,-16.79,SGD,-16.79,SGD,Internet/TV,03 internet,homebudget_sync,hb_gl:2026-08-27:71
hbgl_2026_000072,2026,2026-06,forecast,2026-06-27,TWH - PERSONAL,TWH - Personal,budget,expense,-16.79,SGD,-16.79,SGD,Internet/TV,03 internet,homebudget_sync,hb_gl:2026-06-27:72
hbgl_2026_000073,2026,2026-06,forecast,2026-06-27,TWH - PERSONAL,TWH - Personal,budget,expense,-58.69,SGD,-58.69,SGD,Mobile,05 mobile,homebudget_sync,hb_gl:2026-06-27:73
hbgl_2026_000074,2026,2026-01,actual,2026-01-27,TWH - PERSONAL,TWH - Personal,budget,expense,-58.69,SGD,-58.69,SGD,Mobile,05 mobile,homebudget_sync,hb_gl:2026-01-27:74
hbgl_2026_000075,2026,2026-07,forecast,2026-07-27,TWH - PERSONAL,TWH - Personal,budget,expense,-58.69,SGD,-58.69,SGD,Mobile,05 mobile,homebudget_sync,hb_gl:2026-07-27:75
hbgl_2026_000076,2026,2026-09,forecast,2026-09-27,TWH - PERSONAL,TWH - Personal,budget,expense,-58.69,SGD,-58.69,SGD,Mobile,05 mobile,homebudget_sync,hb_gl:2026-09-27:76
hbgl_2026_000077,2026,2026-11,forecast,2026-11-27,TWH - PERSONAL,TWH - Personal,budget,expense,-58.69,SGD,-58.69,SGD,Mobile,05 mobile,homebudget_sync,hb_gl:2026-11-27:77
hbgl_2026_000078,2026,2026-10,forecast,2026-10-27,TWH - PERSONAL,TWH - Personal,budget,expense,-58.69,SGD,-58.69,SGD,Mobile,05 mobile,homebudget_sync,hb_gl:2026-10-27:78
hbgl_2026_000079,2026,2026-08,forecast,2026-08-27,TWH - PERSONAL,TWH - Personal,budget,expense,-58.69,SGD,-58.69,SGD,Mobile,05 mobile,homebudget_sync,hb_gl:2026-08-27:79
hbgl_2026_000080,2026,2026-12,forecast,2026-12-27,TWH - PERSONAL,TWH - Personal,budget,expense,-58.69,SGD,-58.69,SGD,Mobile,05 mobile,homebudget_sync,hb_gl:2026-12-27:80
hbgl_2026_000081,2026,2026-01,actual,2026-01-27,TWH - PERSONAL,TWH - Personal,budget,transfer_out,-33.58,SGD,-33.58,SGD,,,homebudget_sync,hb_gl:2026-01-27:81
hbgl_2026_000082,2026,2026-06,forecast,2026-06-27,TWH - PERSONAL,TWH - Personal,budget,transfer_out,-33.58,SGD,-33.58,SGD,,,homebudget_sync,hb_gl:2026-06-27:82
hbgl_2026_000083,2026,2026-07,forecast,2026-07-27,TWH - PERSONAL,TWH - Personal,budget,transfer_out,-33.58,SGD,-33.58,SGD,,,homebudget_sync,hb_gl:2026-07-27:83
hbgl_2026_000084,2026,2026-07,forecast,2026-07-27,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_in,33.58,SGD,33.58,SGD,,,homebudget_sync,hb_gl:2026-07-27:84
hbgl_2026_000085,2026,2026-06,forecast,2026-06-27,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_in,33.58,SGD,33.58,SGD,,,homebudget_sync,hb_gl:2026-06-27:85
hbgl_2026_000086,2026,2026-01,actual,2026-01-27,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_in,33.58,SGD,33.58,SGD,,,homebudget_sync,hb_gl:2026-01-27:86
hbgl_2026_000087,2026,2026-09,forecast,2026-09-27,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_in,33.58,SGD,33.58,SGD,,,homebudget_sync,hb_gl:2026-09-27:87
hbgl_2026_000088,2026,2026-08,forecast,2026-08-27,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_in,33.58,SGD,33.58,SGD,,,homebudget_sync,hb_gl:2026-08-27:88
hbgl_2026_000089,2026,2026-10,forecast,2026-10-27,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_in,33.58,SGD,33.58,SGD,,,homebudget_sync,hb_gl:2026-10-27:89
hbgl_2026_000090,2026,2026-11,forecast,2026-11-27,TWH - PERSONAL,TWH - Personal,budget,transfer_out,-33.58,SGD,-33.58,SGD,,,homebudget_sync,hb_gl:2026-11-27:90
hbgl_2026_000091,2026,2026-10,forecast,2026-10-27,TWH - PERSONAL,TWH - Personal,budget,transfer_out,-33.58,SGD,-33.58,SGD,,,homebudget_sync,hb_gl:2026-10-27:91
hbgl_2026_000092,2026,2026-09,forecast,2026-09-27,TWH - PERSONAL,TWH - Personal,budget,transfer_out,-33.58,SGD,-33.58,SGD,,,homebudget_sync,hb_gl:2026-09-27:92
hbgl_2026_000093,2026,2026-08,forecast,2026-08-27,TWH - PERSONAL,TWH - Personal,budget,transfer_out,-33.58,SGD,-33.58,SGD,,,homebudget_sync,hb_gl:2026-08-27:93
hbgl_2026_000094,2026,2026-12,forecast,2026-12-27,TWH - PERSONAL,TWH - Personal,budget,transfer_out,-33.58,SGD,-33.58,SGD,,,homebudget_sync,hb_gl:2026-12-27:94
hbgl_2026_000095,2026,2026-12,forecast,2026-12-27,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_in,33.58,SGD,33.58,SGD,,,homebudget_sync,hb_gl:2026-12-27:95
hbgl_2026_000096,2026,2026-11,forecast,2026-11-27,TWH 30 CC HASHEMIS SGD,30 CC Hashemis,credit,transfer_in,33.58,SGD,33.58,SGD,,,homebudget_sync,hb_gl:2026-11-27:96
hbgl_2026_000097,2026,2026-12,forecast,2026-12-27,TWH - PERSONAL,TWH - Personal,budget,expense,-25.00,SGD,-25.00,SGD,01 MRT,02 local transport,homebudget_sync,hb_gl:2026-12-27:97
hbgl_2026_000098,2026,2026-11,forecast,2026-11-27,TWH - PERSONAL,TWH - Personal,budget,expense,-25.00,SGD,-25.00,SGD,01 MRT,02 local transport,homebudget_sync,hb_gl:2026-11-27:98
hbgl_2026_000099,2026,2026-05,forecast,2026-05-27,TWH - PERSONAL,TWH - Personal,budget,expense,-25.00,SGD,-25.00,SGD,01 MRT,02 local transport,homebudget_sync,hb_gl:2026-05-27:99
hbgl_2026_000100,2026,2026-10,forecast,2026-10-27,TWH - PERSONAL,TWH - Personal,budget,expense,-25.00,SGD,-25.00,SGD,01 MRT,02 local transport,homebudget_sync,hb_gl:2026-10-27:100
hbgl_2026_000101,2026,2026-09,forecast,2026-09-27,TWH - PERSONAL,TWH - Personal,budget,expense,-25.00,SGD,-25.00,SGD,01 MRT,02 local transport,homebudget_sync,hb_gl:2026-09-27:101
hbgl_2026_000102,2026,2026-08,forecast,2026-08-27,TWH - PERSONAL,TWH - Personal,budget,expense,-25.00,SGD,-25.00,SGD,01 MRT,02 local transport,homebudget_sync,hb_gl:2026-08-27:102
hbgl_2026_000103,2026,2026-07,forecast,2026-07-27,TWH - PERSONAL,TWH - Personal,budget,expense,-25.00,SGD,-25.00,SGD,01 MRT,02 local transport,homebudget_sync,hb_gl:2026-07-27:103
hbgl_2026_000104,2026,2026-06,forecast,2026-06-27,TWH - PERSONAL,TWH - Personal,budget,expense,-25.00,SGD,-25.00,SGD,01 MRT,02 local transport,homebudget_sync,hb_gl:2026-06-27:104
hbgl_2026_000105,2026,2026-05,forecast,2026-05-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_out,-25.00,SGD,-25.00,SGD,,,homebudget_sync,hb_gl:2026-05-27:105
hbgl_2026_000106,2026,2026-07,forecast,2026-07-27,TWH - PERSONAL,TWH - Personal,budget,transfer_in,25.00,SGD,25.00,SGD,,,homebudget_sync,hb_gl:2026-07-27:106
hbgl_2026_000107,2026,2026-06,forecast,2026-06-27,TWH - PERSONAL,TWH - Personal,budget,transfer_in,25.00,SGD,25.00,SGD,,,homebudget_sync,hb_gl:2026-06-27:107
hbgl_2026_000108,2026,2026-05,forecast,2026-05-27,TWH - PERSONAL,TWH - Personal,budget,transfer_in,25.00,SGD,25.00,SGD,,,homebudget_sync,hb_gl:2026-05-27:108
hbgl_2026_000109,2026,2026-09,forecast,2026-09-27,TWH - PERSONAL,TWH - Personal,budget,transfer_in,25.00,SGD,25.00,SGD,,,homebudget_sync,hb_gl:2026-09-27:109
hbgl_2026_000110,2026,2026-08,forecast,2026-08-27,TWH - PERSONAL,TWH - Personal,budget,transfer_in,25.00,SGD,25.00,SGD,,,homebudget_sync,hb_gl:2026-08-27:110
hbgl_2026_000111,2026,2026-09,forecast,2026-09-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_out,-25.00,SGD,-25.00,SGD,,,homebudget_sync,hb_gl:2026-09-27:111
hbgl_2026_000112,2026,2026-08,forecast,2026-08-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_out,-25.00,SGD,-25.00,SGD,,,homebudget_sync,hb_gl:2026-08-27:112
hbgl_2026_000113,2026,2026-07,forecast,2026-07-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_out,-25.00,SGD,-25.00,SGD,,,homebudget_sync,hb_gl:2026-07-27:113
hbgl_2026_000114,2026,2026-06,forecast,2026-06-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_out,-25.00,SGD,-25.00,SGD,,,homebudget_sync,hb_gl:2026-06-27:114
hbgl_2026_000115,2026,2026-10,forecast,2026-10-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_out,-25.00,SGD,-25.00,SGD,,,homebudget_sync,hb_gl:2026-10-27:115
hbgl_2026_000116,2026,2026-12,forecast,2026-12-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_out,-25.00,SGD,-25.00,SGD,,,homebudget_sync,hb_gl:2026-12-27:116
hbgl_2026_000117,2026,2026-11,forecast,2026-11-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_out,-25.00,SGD,-25.00,SGD,,,homebudget_sync,hb_gl:2026-11-27:117
hbgl_2026_000118,2026,2026-12,forecast,2026-12-27,TWH - PERSONAL,TWH - Personal,budget,transfer_in,25.00,SGD,25.00,SGD,,,homebudget_sync,hb_gl:2026-12-27:118
hbgl_2026_000119,2026,2026-11,forecast,2026-11-27,TWH - PERSONAL,TWH - Personal,budget,transfer_in,25.00,SGD,25.00,SGD,,,homebudget_sync,hb_gl:2026-11-27:119
hbgl_2026_000120,2026,2026-10,forecast,2026-10-27,TWH - PERSONAL,TWH - Personal,budget,transfer_in,25.00,SGD,25.00,SGD,,,homebudget_sync,hb_gl:2026-10-27:120
hbgl_2026_000121,2026,2026-07,forecast,2026-07-27,TWH UOB ONE SGD,TWH UOB One SGD,credit,transfer_out,-50.00,SGD,-50.00,SGD,,,homebudget_sync,hb_gl:2026-07-27:121
hbgl_2026_000122,2026,2026-05,forecast,2026-05-27,TWH UOB ONE SGD,TWH UOB One SGD,credit,transfer_out,-50.00,SGD,-50.00,SGD,,,homebudget_sync,hb_gl:2026-05-27:122
hbgl_2026_000123,2026,2026-09,forecast,2026-09-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_in,50.00,SGD,50.00,SGD,,,homebudget_sync,hb_gl:2026-09-27:123
hbgl_2026_000124,2026,2026-07,forecast,2026-07-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_in,50.00,SGD,50.00,SGD,,,homebudget_sync,hb_gl:2026-07-27:124
hbgl_2026_000125,2026,2026-05,forecast,2026-05-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_in,50.00,SGD,50.00,SGD,,,homebudget_sync,hb_gl:2026-05-27:125
hbgl_2026_000126,2026,2026-09,forecast,2026-09-27,TWH UOB ONE SGD,TWH UOB One SGD,credit,transfer_out,-50.00,SGD,-50.00,SGD,,,homebudget_sync,hb_gl:2026-09-27:126
hbgl_2026_000127,2026,2026-11,forecast,2026-11-27,TWH UOB ONE SGD,TWH UOB One SGD,credit,transfer_out,-50.00,SGD,-50.00,SGD,,,homebudget_sync,hb_gl:2026-11-27:127
hbgl_2026_000128,2026,2026-11,forecast,2026-11-27,TWH EZLINK SGD,TWH EZLink,cash,transfer_in,50.00,SGD,50.00,SGD,,,homebudget_sync,hb_gl:2026-11-27:128
hbgl_2026_000129,2026,2026-05,forecast,2026-05-01,TWH - PERSONAL,TWH - Personal,budget,expense,-16.12,SGD,-16.12,SGD,04 IT services,09 discretionary,homebudget_sync,hb_gl:2026-05-01:129
hbgl_2026_000130,2026,2026-06,forecast,2026-06-01,TWH - PERSONAL,TWH - Personal,budget,expense,-16.12,SGD,-16.12,SGD,04 IT services,09 discretionary,homebudget_sync,hb_gl:2026-06-01:130
hbgl_2026_000131,2026,2026-04,forecast,2026-04-01,TWH - PERSONAL,TWH - Personal,budget,expense,-16.12,SGD,-16.12,SGD,04 IT services,09 discretionary,homebudget_sync,hb_gl:2026-04-01:131
